ID;Hora de inicio;Hora de finalización;Correo electrónico;Nombre;Selecciona el módulo correspondiente para realizar su valoración;¿Se te ha informado de los resultados de aprendizaje del módulo profesional?;¿Se te ha informado de los contenidos del módulo profesional y de su distribución por trimestres/evaluaciones?;¿Se te ha informado del sistema de evaluación y de calificación empleados en el módulo profesional?;¿Se te ha informado de los criterios de evaluación, de su ponderación y calificación?;¿Se te han comunicado con suficiente antelación las fechas de realización y entrega de tareas y pruebas objetivas?;¿Se ha informado del nº de faltas con las que se pierde el derecho a la evaluación continua y de sus efectos?;VALORACIÓN DEL -BLOQUE 1- INFORMACIÓN SOBRE EL MÓDULO PROFESIONAL.  ;OBSERVACIONES -BLOQUE 1- INFORMACIÓN SOBRE EL MÓDULO PROFESIONAL. (opcional);¿El profesor/a asiste con puntualidad a las clases?;¿El profesor/a prepara bien sus clases?;¿El profesor/a se explica con claridad y te permite seguir bien las clases?;¿El profesor/a establece en cada U.T los objetivos a alcanzar?;¿El profesor/a relaciona, entre sí, las diferentes UU.T del módulo?;¿El profesor/a domina los contenidos del módulo que imparte?;¿El profesor/a muestra interés y le gusta enseñar los contenidos del módulo que imparte?;¿La asistencia a clase te ayuda, significativamente, a comprender los contenidos del módulo?;¿El profesor/a sabe conectar y motivar al alumnado?;¿El profesor/a responde/aclara las preguntas/dudas planteadas?;¿El profesor/a mantiene un clima respetuoso y de trabajo en clase?;¿El profesor/a promueve la participación del alumnado en clase?;VALORACIÓN DEL -BLOQUE 2-     CLASES – PROFESOR/A.;OBSERVACIONES -BLOQUE 2- CLASES – PROFESOR/A. (opcional);¿Consideras práctica y útil el Aula virtual para impartir las clases?;¿Los medios empleados en clase te ayudan a entender lo explicado?;¿Las actividades de las UU.T te ayudan a comprender, más y mejor, los contenidos?;¿Las actividades, trabajos, prácticas de las UU.T te ayudan a  preparar los exámenes?;VALORACIÓN DEL -BLOQUE 3-    RECURSOS EMPLEADOS EN EL MÓDULO PROFESIONAL.;OBSERVACIONES - BLOQUE 3 - RECURSOS EMPLEADOS EN EL MÓDULO PROFESIONAL. (opcional);¿Tienen utilidad las correcciones que se hacen a las actividades entregadas?;¿Te parece bien ser evaluado trimestralmente con varios instrumentos de evaluación, (ejercicios, trabajos, test, supuestos prácticos, pruebas objetivas)?;¿Preferirías ser evaluado con una única prueba objetiva, (práctica y/o teórica) al trimestre?;¿Las preguntas de los exámenes, (teóricas/prácticas), han sido, previamente,  explicadas en clase?;¿Consideras objetivo, imparcial y justo el sistema de evaluación y calificación empleados?;¿Consideras objetivo, imparcial y justo el sistema de evaluación y calificación empleados?2;¿Cambiarías el sistema de evaluación y calificación empleados el módulo?;VALORACIÓN DEL -BLOQUE 4-    SISTEMA DE EVALUACIÓN-CALIFICACIÓN EN EL MÓDULO.;OBSERVACIONES - BLOQUE 4 - CSISTEMA DE EVALUACIÓN-CALIFICACIÓN EN EL MÓDULO. (opcional);SATISFACCIÓN FINAL DEL ÁMBITO/MÓDULO
1;1/30/24 9:34:46;1/30/24 9:36:53;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;Un amor de profesora ;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;Una de las mejores profesoras con diferencia, no como otros ;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
2;1/30/24 9:34:40;1/30/24 9:37:10;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
3;1/30/24 9:35:37;1/30/24 9:37:38;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
4;1/30/24 9:34:33;1/30/24 9:37:40;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;No;SI;No;Si;Si;Si;Si;5;;No;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
5;1/30/24 9:35:04;1/30/24 9:37:43;anonymous;;Producción de planta forestal en vivero;Si;No;Si;No;No;Si;4;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;4;;Si;Si;Si;Si;Si;No;No;4;A;4
6;1/30/24 9:35:39;1/30/24 9:38:00;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
7;1/30/24 9:34:23;1/30/24 9:38:01;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
8;1/30/24 9:34:35;1/30/24 9:38:21;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;No;Si;4;i mucho tematio;Si;SI;SI;SI;SI;SI;SI;No;Si;Si;Si;Si;5;Buenas;Si;Si;Si;Si;4;Buenof;Si;Si;Si;Si;Si;Si;Si;4;Ss;3
9;1/30/24 9:35:56;1/30/24 9:38:41;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;Si;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;Buena ;Si;Si;Si;Si;5;Bien ;Si;Si;Si;Si;Si;Si;Si;5;Bien ;5
10;1/30/24 9:35:11;1/30/24 9:38:48;anonymous;;Producción de planta forestal en vivero;Si;Si;Si;Si;Si;Si;5;Raquel explica muy bien y es muy amable ;Si;SI;SI;SI;SI;SI;SI;Si;Si;Si;Si;Si;5;Raquel es muy buena profesora;Si;Si;Si;Si;5;;Si;Si;Si;Si;Si;Si;Si;5;;5
